year,data_year,list,rank,company,status,prior_year_closings,prior_year_gross_revenue,prior_year_rank,firm_url
2017,2016,next100,156,Flagship Homes,,215,$55,N/A,https://www.builderonline.com/firms/flagship-homes_o
2017,2016,next100,157,Dorn Homes,,214,$69,164,https://www.builderonline.com/firms/dorn-homes
2017,2016,next100,157,McKee Homes,,214,$57,186,https://www.builderonline.com/firms/mckee-homes
2017,2016,next100,157,Stoneridge Homes,,214,$69,163,https://www.builderonline.com/firms/stoneridge-homes
2017,2016,next100,160,Stone Martin Builders,,212,$60,143,https://www.builderonline.com/firms/stone-martin-builders
2017,2016,next100,161,Tim O’Brien Homes,,210,$74,136,https://www.builderonline.com/firms/tim-obrien-homes
2017,2016,next100,161,Miller and Smith,,210,$154,115,https://www.builderonline.com/firms/miller-and-smith
2017,2016,next100,163,Brohn Homes,,208,$81,N/A,https://www.builderonline.com/firms/brohn-homes
2017,2016,next100,164,Eagle Construction of Virginia,,204,$91,141,https://www.builderonline.com/firms/eagle-construction-of-virginia
2017,2016,next100,165,Devon Street Homes,,202,$48,153,https://www.builderonline.com/firms/devon-street-homes
2017,2016,next100,165,Palo Verde Homes,,202,$36,184,https://www.builderonline.com/firms/palo-verde-homes
2017,2016,next100,167,Hills Properties/Inverness Homes,,198,$139,173,https://www.builderonline.com/firms/hills-properties-inverness-homes
2017,2016,next100,168,G.J. Gardner Homes,,197,$72,133,https://www.builderonline.com/firms/gj-gardner-homes
2017,2016,next100,168,Wynn Construction,,197,$52,149,https://www.builderonline.com/firms/wynn-construction
2017,2016,next100,170,Beechwood Homes,,196,$132,133,https://www.builderonline.com/firms/beechwood-homes
2017,2016,next100,171,Trumark Cos.,,194,$275,141,https://www.builderonline.com/firms/trumark-cos
2017,2016,next100,171,Viera Builders,,194,$75,187,https://www.builderonline.com/firms/viera-builders
2017,2016,next100,171,Newcastle Construction,,194,$50,150,https://www.builderonline.com/firms/newcastle-construction
2017,2016,next100,174,Shaddock Homes,,191,$126,181,https://www.builderonline.com/firms/shaddock-homes
2017,2016,next100,175,GreenECO Builders,,185,$38,131,https://www.builderonline.com/firms/greeneco-builders
2017,2016,next100,175,Tropicana Homes,,185,$63,157,https://www.builderonline.com/firms/tropicana-homes
2017,2016,next100,175,Truland Homes,,185,$65,179,https://www.builderonline.com/firms/truland-homes
2017,2016,next100,178,Jeff Benton Homes,,183,$66,135,https://www.builderonline.com/firms/jeff-benton-homes
2017,2016,next100,179,Mayberry Homes,,182,$46,175,https://www.builderonline.com/firms/mayberry-homes
2017,2016,next100,180,Main Street Homes,,181,$78,156,https://www.builderonline.com/firms/main-street-homes
2017,2016,next100,181,Warmington Group,,180,$112,159,https://www.builderonline.com/firms/warmington-group
2017,2016,next100,182,Traton Homes,,179,$90,169,https://www.builderonline.com/firms/traton-homes
2017,2016,next100,183,GHO Homes,,178,$59,200,https://www.builderonline.com/firms/gho-homes
2017,2016,next100,183,Centerra Homes,,178,$63,196,https://www.builderonline.com/firms/centerra-homes
2017,2016,next100,185,Evergreene Homes,,177,$112,182,https://www.builderonline.com/firms/evergreene-homes
2017,2016,next100,186,Don Julian Builders / New Mark Homes,,172,$53,N/A,https://www.builderonline.com/firms/don-julian-builders-new-mark-homes
2017,2016,next100,186,Craftmark Group,,172,$112,171,https://www.builderonline.com/firms/craftmark-group
2017,2016,next100,188,Greenland Homes,,170,$49,N/A,https://www.builderonline.com/firms/greenland-homes
2017,2016,next100,188,Providence Homes,,170,$62,152,https://www.builderonline.com/firms/providence-homes
2017,2016,next100,190,Sabal Homes,,167,$47,N/A,https://www.builderonline.com/firms/sabal-homes
2017,2016,next100,191,McArthur Homes,,163,$52,178,https://www.builderonline.com/firms/mcarthur-homes
