Date,Serving President,Serving President Party,Elected President,Elected President Party
6/1/2017,Donald Trump,Republican,Donald Trump,Republican
7/1/2017,Donald Trump,Republican,Donald Trump,Republican
8/1/2017,Donald Trump,Republican,Donald Trump,Republican
9/1/2017,Donald Trump,Republican,Donald Trump,Republican
10/1/2017,Donald Trump,Republican,Donald Trump,Republican
11/1/2017,Donald Trump,Republican,Donald Trump,Republican
12/1/2017,Donald Trump,Republican,Donald Trump,Republican
1/1/2018,Donald Trump,Republican,Donald Trump,Republican
2/1/2018,Donald Trump,Republican,Donald Trump,Republican
3/1/2018,Donald Trump,Republican,Donald Trump,Republican
4/1/2018,Donald Trump,Republican,Donald Trump,Republican
5/1/2018,Donald Trump,Republican,Donald Trump,Republican
6/1/2018,Donald Trump,Republican,Donald Trump,Republican
7/1/2018,Donald Trump,Republican,Donald Trump,Republican
8/1/2018,Donald Trump,Republican,Donald Trump,Republican
9/1/2018,Donald Trump,Republican,Donald Trump,Republican
10/1/2018,Donald Trump,Republican,Donald Trump,Republican
11/1/2018,Donald Trump,Republican,Donald Trump,Republican
12/1/2018,Donald Trump,Republican,Donald Trump,Republican
1/1/2019,Donald Trump,Republican,Donald Trump,Republican
2/1/2019,Donald Trump,Republican,Donald Trump,Republican
3/1/2019,Donald Trump,Republican,Donald Trump,Republican
4/1/2019,Donald Trump,Republican,Donald Trump,Republican
5/1/2019,Donald Trump,Republican,Donald Trump,Republican
6/1/2019,Donald Trump,Republican,Donald Trump,Republican
7/1/2019,Donald Trump,Republican,Donald Trump,Republican
8/1/2019,Donald Trump,Republican,Donald Trump,Republican
9/1/2019,Donald Trump,Republican,Donald Trump,Republican
10/1/2019,Donald Trump,Republican,Donald Trump,Republican
11/1/2019,Donald Trump,Republican,Donald Trump,Republican
12/1/2019,Donald Trump,Republican,Donald Trump,Republican
1/1/2020,Donald Trump,Republican,Donald Trump,Republican
2/1/2020,Donald Trump,Republican,Donald Trump,Republican
3/1/2020,Donald Trump,Republican,Donald Trump,Republican
4/1/2020,Donald Trump,Republican,Donald Trump,Republican
5/1/2020,Donald Trump,Republican,Donald Trump,Republican
6/1/2020,Donald Trump,Republican,Donald Trump,Republican
7/1/2020,Donald Trump,Republican,Donald Trump,Republican
8/1/2020,Donald Trump,Republican,Donald Trump,Republican
9/1/2020,Donald Trump,Republican,Donald Trump,Republican
10/1/2020,Donald Trump,Republican,Donald Trump,Republican
11/1/2020,Donald Trump,Republican,Joseph Biden,Democrat
12/1/2020,Donald Trump,Republican,Joseph Biden,Democrat
1/1/2021,Joseph Biden,Democrat,Joseph Biden,Democrat
2/1/2021,Joseph Biden,Democrat,Joseph Biden,Democrat
3/1/2021,Joseph Biden,Democrat,Joseph Biden,Democrat
4/1/2021,Joseph Biden,Democrat,Joseph Biden,Democrat
5/1/2021,Joseph Biden,Democrat,Joseph Biden,Democrat
6/1/2021,Joseph Biden,Democrat,Joseph Biden,Democrat
7/1/2021,Joseph Biden,Democrat,Joseph Biden,Democrat
8/1/2021,Joseph Biden,Democrat,Joseph Biden,Democrat
9/1/2021,Joseph Biden,Democrat,Joseph Biden,Democrat
10/1/2021,Joseph Biden,Democrat,Joseph Biden,Democrat
11/1/2021,Joseph Biden,Democrat,Joseph Biden,Democrat
12/1/2021,Joseph Biden,Democrat,Joseph Biden,Democrat
1/1/2022,Joseph Biden,Democrat,Joseph Biden,Democrat
2/1/2022,Joseph Biden,Democrat,Joseph Biden,Democrat
3/1/2022,Joseph Biden,Democrat,Joseph Biden,Democrat
4/1/2022,Joseph Biden,Democrat,Joseph Biden,Democrat
5/1/2022,Joseph Biden,Democrat,Joseph Biden,Democrat
6/1/2022,Joseph Biden,Democrat,Joseph Biden,Democrat
7/1/2022,Joseph Biden,Democrat,Joseph Biden,Democrat
8/1/2022,Joseph Biden,Democrat,Joseph Biden,Democrat
9/1/2022,Joseph Biden,Democrat,Joseph Biden,Democrat
10/1/2022,Joseph Biden,Democrat,Joseph Biden,Democrat
11/1/2022,Joseph Biden,Democrat,Joseph Biden,Democrat
12/1/2022,Joseph Biden,Democrat,Joseph Biden,Democrat
1/1/2023,Joseph Biden,Democrat,Joseph Biden,Democrat
2/1/2023,Joseph Biden,Democrat,Joseph Biden,Democrat
3/1/2023,Joseph Biden,Democrat,Joseph Biden,Democrat
4/1/2023,Joseph Biden,Democrat,Joseph Biden,Democrat
5/1/2023,Joseph Biden,Democrat,Joseph Biden,Democrat
6/1/2023,Joseph Biden,Democrat,Joseph Biden,Democrat
