Date,Serving President,Serving President Party,Elected President,Elected President Party
12/1/1987,Ronald Reagan,Republican,Ronald Reagan,Republican
1/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
2/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
3/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
4/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
5/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
6/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
7/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
8/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
9/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
10/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
11/1/1988,Ronald Reagan,Republican,George H.W. Bush,Republican
12/1/1988,Ronald Reagan,Republican,George H.W. Bush,Republican
1/1/1989,George H.W. Bush,Republican,George H.W. Bush,Republican
2/1/1989,George H.W. Bush,Republican,George H.W. Bush,Republican
3/1/1989,George H.W. Bush,Republican,George H.W. Bush,Republican
4/1/1989,George H.W. Bush,Republican,George H.W. Bush,Republican
5/1/1989,George H.W. Bush,Republican,George H.W. Bush,Republican
6/1/1989,George H.W. Bush,Republican,George H.W. Bush,Republican
7/1/1989,George H.W. Bush,Republican,George H.W. Bush,Republican
8/1/1989,George H.W. Bush,Republican,George H.W. Bush,Republican
9/1/1989,George H.W. Bush,Republican,George H.W. Bush,Republican
10/1/1989,George H.W. Bush,Republican,George H.W. Bush,Republican
11/1/1989,George H.W. Bush,Republican,George H.W. Bush,Republican
12/1/1989,George H.W. Bush,Republican,George H.W. Bush,Republican
1/1/1990,George H.W. Bush,Republican,George H.W. Bush,Republican
2/1/1990,George H.W. Bush,Republican,George H.W. Bush,Republican
3/1/1990,George H.W. Bush,Republican,George H.W. Bush,Republican
4/1/1990,George H.W. Bush,Republican,George H.W. Bush,Republican
5/1/1990,George H.W. Bush,Republican,George H.W. Bush,Republican
6/1/1990,George H.W. Bush,Republican,George H.W. Bush,Republican
7/1/1990,George H.W. Bush,Republican,George H.W. Bush,Republican
8/1/1990,George H.W. Bush,Republican,George H.W. Bush,Republican
9/1/1990,George H.W. Bush,Republican,George H.W. Bush,Republican
10/1/1990,George H.W. Bush,Republican,George H.W. Bush,Republican
11/1/1990,George H.W. Bush,Republican,George H.W. Bush,Republican
12/1/1990,George H.W. Bush,Republican,George H.W. Bush,Republican
1/1/1991,George H.W. Bush,Republican,George H.W. Bush,Republican
2/1/1991,George H.W. Bush,Republican,George H.W. Bush,Republican
3/1/1991,George H.W. Bush,Republican,George H.W. Bush,Republican
4/1/1991,George H.W. Bush,Republican,George H.W. Bush,Republican
5/1/1991,George H.W. Bush,Republican,George H.W. Bush,Republican
6/1/1991,George H.W. Bush,Republican,George H.W. Bush,Republican
7/1/1991,George H.W. Bush,Republican,George H.W. Bush,Republican
8/1/1991,George H.W. Bush,Republican,George H.W. Bush,Republican
9/1/1991,George H.W. Bush,Republican,George H.W. Bush,Republican
10/1/1991,George H.W. Bush,Republican,George H.W. Bush,Republican
11/1/1991,George H.W. Bush,Republican,George H.W. Bush,Republican
12/1/1991,George H.W. Bush,Republican,George H.W. Bush,Republican
1/1/1992,George H.W. Bush,Republican,George H.W. Bush,Republican
